Paper_paperId,Paper_year,Paper_originalTitle,Author_normalizedName,Journal_normalizedName,Author_authorId,isQueryPaper
2797658727,2018,An EU without the UK: mapping the UK’s changing roles in the EU scientific research,"[gege lin, xianwen wang, zhigang hu, taian sun]",[scientometrics],"[2755712137, 2130865817, 2620238391, 2755478002]",true
2047856703,1988,The usage of ‘theory’ and ‘model’ in scientific conceptualization,"[leopold mathelitsch, a hohenester, michael j moravcsik]",[scientometrics],"[177955909, 1898739471, 2788544338]",true
2795495250,2018,Scientific productivity and cooperation in Turkic world: a bibliometric analysis,"[gokce candan, koksal şahin]",[scientometrics],"[2093102398, 2131516622]",true
2109047170,2006,Scientific capabilities and technological performance of national innovation systems: An exploration of emerging industrial relevant research domains,"[koenraad debackere, thed n van leeuwen, julie callaert, robert j w tijssen, bart van looy]",[scientometrics],"[166844644, 1911358670, 2775909725, 2141042493, 2657380152]",true
2523550674,2016,Professional and citizen bibliometrics: complementarities and ambivalences in the development and use of indicators--a state-of-the-art report,"[lutz bornmann, loet leydesdorff, paul wouters]",[scientometrics],"[98572569, 1993486354, 2610046292]",true
2004321841,1987,An optimal control model of the life-cycle research productivity of scientists,[arthur m diamond],[scientometrics],[2173483832],true
2124443923,1991,"The bibliometric assessment of UK scientific performance a reply to Braun, Glänzel and Schubert",[ben r martin],[scientometrics],[2107192605],true
2478530514,2016,The information value of early career productivity in mathematics: a ROC analysis of prediction errors in bibliometricly informed decision making,"[rickard danell, jonas lindahl]",[scientometrics],"[2088575894, 2103850729]",true
1883958833,2001,Scientometrics in the Context of Probabilistic Philosophy,"[lyubov g gurjeva, paul wouters]",[scientometrics],"[2234296144, 2610046292]",true
2111947488,2015,Embedded information structures and functions of co-authorship networks: evidence from cancer research collaboration in India,"[avinash kshitij, jaideep ghosh, brij mohan gupta]",[scientometrics],"[2001431290, 2108007833, 2304194258]",true
2022595421,1994,Towards a demographic approach to scientific journals,"[joelle devillard, philippe jeannin]",[scientometrics],"[2051034243, 2317795858]",true
2160367875,2014,Best-in-class and strategic benchmarking of scientific subject categories of Web of Science in 2010,"[nicolas robinsongarcia, rosa rodriguezsanchez, j fdezvaldivia, daniel torressalinas, j a garcia]",[scientometrics],"[563251871, 1941030985, 2043465489, 2070223143, 2123707157]",true
2596167733,2005,Strange referencing and some remarks,[tibor braun],[scientometrics],[2169061368],true
2899489554,2018,Deep context of citations using machine-learning models in scholarly full-text articles,"[naif radi aljohani, saeedul hassan, sehrish iqbal, mubashir imran, raheel nawaz]",[scientometrics],"[2140666938, 2304958819, 2897131912, 2614011088, 2917472896]",true
2964008142,2018,Which differences can be expected when two universities in the Leiden Ranking are compared? Some benchmarks for institutional research evaluations,"[lutz bornmann, wolfgang glanzel, wolfgang glanzel]",[scientometrics],"[98572569, 1981784093, 1981784093]",true
2160053408,1996,Studying research collaboration using co-authorships,"[olle persson, goran melin]",[scientometrics],"[2104100963, 2472928466]",true
2462109901,2016,Evaluating a European knowledge hub on climate change in agriculture: Are we building a better connected community?,"[richard p kipling, eli saetnan]",[scientometrics],"[2110624905, 2666745794]",true
2116871268,1998,THE INFLUENCE OF INTERNATIONAL COLLABORATION ON THE IMPACT OF RESEARCH RESULTS,[a f j van raan],[scientometrics],[465511803],true
2092923820,1997,"The “mad cow disease”, Usenet Newsgroups and bibliometric laws",[judit barilan],[scientometrics],[118324956],true
2137020680,2006,Towards a European economics of economics: Monitoring a decade of top research and providing some explanation,"[stephane ghio, bernd sussmuth, martin steininger]",[scientometrics],"[1972130112, 2306258679, 2677921079]",true
2024319358,2015,Medical theses and derivative articles: dissemination of contents and publication patterns,"[tobias blanke, mercedes echeverria, d i stuart]",[scientometrics],"[1669050912, 2155072556, 2990416197]",true
1980262385,1994,Facts or imposed names on facts,[radosvet todorov],[scientometrics],[2109092313],true
1963809081,1995,The Max Planck experience of evaluation,[w krull],[scientometrics],[2576199125],true
2081186256,1997,TRACKING CHANGES IN RESEARCH PRIORITIES IN PHYSICS: A MACRO LEVEL ANALYSIS,"[sujit bhattacharya, satpal singh, p sudhakar]",[scientometrics],"[2425012385, 2614393912, 2661725731]",true
2558918848,2016,Thirty years of Evidence-based Librarianship (EBL):Citation analysis and review,"[mohammad hassanzadeh, saeed shokreian, maryam moghadami]",[collnet journal of scientometrics and information management],"[2190913822, 2559053519, 2669522450]",true
2011462337,1998,Applicability of selected probability distributions to the number of authors per article in theoretical population genetics,"[ronald rousseau, brij mohan gupta, suresh kumar]",[scientometrics],"[2026323400, 2304194258, 2306289437]",true
2998568488,2016,A comparative study on three citation windows for detecting research fronts,"[changchiapin, huangmuhsuan]",[scientometrics],"[2997563325, 2998553676]",true
2116032757,2009,Using detailed maps of science to identify potential collaborations,[kevin w boyack],[scientometrics],[109906890],true
3093198620,2020,Analysis of the evolution and collaboration networks of citizen science scientific publications,"[j clementegallardo, francisco javier perez sanz, a tarancon, gonzalo ruiz, m pelacho, m pelacho]",[scientometrics],"[2001815666, 2138920555, 2169757046, 2486382272, 3092989751, 3092989751]",true
